,uncased,nominative,genitive,dative,accusative,instrumental,locative,vocative
1415,wzrok,wzrok,wzroku,wzrokowi,wzrok,wzrokiem,wzroku,wzroku
1416,Chrystus,Chrystus,Chrystusa,Chrystusowi,Chrystusa,Chrystusem,Chrystusie,Chrystusie
1418,właściciel,właściciel,właściciela,właścicielowi,właściciela,właścicielem,właścicielu,właścicielu
1419,sukienka,sukienka,sukienki,sukience,sukienkę,sukienką,sukience,sukienko!
1422,ego,ego,ego,ego,ego,ego,ego,ego
1427,płyn,płyn,płynu,płynowi,płyn,płynem,płynie,płynie
1428,propozycja,propozycja,propozycji,propozycji,propozycję,propozycją,propozycji,propozycjo
1429,zbieg,zbieg,zbiega,zbiegowi,zbiega,zbiegiem,zbiegu,zbiegu
1434,strój,strój,stroju,strojowi,strój,strojem,stroju,stroju!
1437,członek,członek,członka,członkowi,członka,członkiem,członku,członku
1438,biurko,biurko,biurka,biurku,biurko,biurkiem,biurku,biurko!
1441,wariat,wariat,wariata,wariatowi,wariata,wariatem,wariacie,wariacie
1444,czoło,czoło,czoła,czołu,czoło,czołem,czole,czoło
1447,gniew,gniew,gniewu,gniewowi,gniew,gniewem,gniewie,gniewie
1449,hałas,hałas,hałasu,hałasowi,hałas,hałasem,hałasie,hałasie
1451,poczta,poczta,poczty,poczcie,pocztę,pocztą,poczcie,poczto!
1453,wioska,wioska,wioski,wiosce,wioskę,wioską,wiosce,wiosko
1454,kierowca,kierowca,kierowcy,kierowcy,kierowcę,kierowcą,kierowcy,kierowco!
1455,Rzym,Rzym,Rzymu,Rzymowi,Rzym,Rzymem,Rzymie,Rzymie
1456,alkohol,alkohol,alkoholu,alkoholowi,alkohol,alkoholem,alkoholu,alkoholu
1458,oferta,oferta,oferty,ofercie,ofertę,ofertą,ofercie,oferto!
1460,dzielnica,dzielnica,dzielnicy,dzielnicy,dzielnicę,dzielnicą,dzielnicy,dzielnico
1461,karetka,karetka,karetki,karetce,karetkę,karetką,karetce,karetko
1462,emerytura,emerytura,emerytury,emeryturze,emeryturę,emeryturą,emeryturze,emeryturo
1464,dzieło,dzieło,dzieła,dziełu,dzieło,dziełem,dziełu,dzieło
1466,lord,lord,lorda,lordowi,lorda,lordem,lordzie,lordzie
1469,skok,skok,skoku,skokowi,skok,skokiem,skoku,skoku
1473,toast,toast,toastu,toastowi,toast,toastem,toaście,toaście!
1474,rozdział,rozdział,rozdziału,rozdziałowi,rozdział,rozdziałem,rozdziale,rozdziale
1475,straż,straż,straży,straży,straż,strażą,straży,straży
1476,przestępstwo,przestępstwo,przestępstwa,przestępstwu,przestępstwo,przestępstwem,przestępstwie,przestępstwo
1477,cięcie,cięcie,cięcia,cięciu,cięcie,cięciem,cięciu,cięcie
1480,taśma,taśma,taśmy,taśmie,taśmę,taśmą,taśmie,taśmo
1486,nazwa,nazwa,nazwy,nazwie,nazwę,nazwą,nazwie,nazwo!
1488,wizyta,wizyta,wizyty,wizycie,wizytę,wizytą,wizycie,wizyto!
1489,jama,jama,jamy,jamie,jamę,jamą,jamie,jamo!
1491,symbol,symbol,symbolu,symbolowi,symbol,symbolem,symbolu,symbolu!
1494,morda,morda,mordy,mordzie,mordę,mordą,mordzie,mordo
1495,znajoma,znajoma,znajomej,znajomej,znajomą,znajomą,znajomej,znajomo!
1500,postać,postać,postaci,postaci,postać,postacią,postaci,postaci
1501,wybuch,wybuch,wybuchu,wybuchowi,wybuch,wybuchem,wybuchu,wybuchu
1502,pocałunek,pocałunek,pocałunku,pocałunkowi,pocałunek,pocałunkiem,pocałunku,pocałunku
1504,rozmiar,rozmiar,rozmiaru,rozmiarowi,rozmiar,rozmiarem,rozmiarze,rozmiarze!
1505,szczyt,szczyt,szczytu,szczytowi,szczyt,szczytem,szczycie,szczycie
1508,ciężarówka,ciężarówka,ciężarówki,ciężarówce,ciężarówkę,ciężarówką,ciężarówce,ciężarówko
1511,wyścig,wyścig,wyścigu,wyścigowi,wyścig,wyścigiem,wyścigu,wyścigu!
1512,smak,smak,smaku,smakowi,smak,smakiem,smaku,smaku
1515,brama,brama,bramy,bramie,bramę,bramą,bramie,bramo
1517,pozostanie,pozostanie,pozostania,pozostaniu,pozostanie,pozostaniem,pozostaniu,pozostanie
1520,śnieg,śnieg,śniegu,śniegowi,śnieg,śniegiem,śniegu,śniegu
1528,stolik,stolik,stolika,stolikowi,stolik,stolikiem,stoliku,stoliku
1531,waga,waga,wagi,wadze,wagę,wagą,wadze,wago!
1532,wieża,wieża,wieży,wieży,wieżę,wieżą,wieży,wieżo
1533,model,model,modela,modelowi,modela,modelem,modelu,modelu
1536,słuch,słuch,słuchu,słuchowi,słuch,słuchem,słuchu,słuchu
1538,wygląd,wygląd,wyglądu,wyglądowi,wygląd,wyglądem,wyglądzie,wyglądzie!
1542,mapa,mapa,mapy,mapie,mapę,mapą,mapie,mapo
1543,transport,transport,transportu,transportowi,transport,transportem,transporcie,transporcie
1555,koncert,koncert,koncertu,koncertowi,koncert,koncertem,koncercie,koncercie
1556,całość,całość,całości,całości,całość,całością,całości,całości
1557,Rosja,Rosja,Rosji,Rosji,Rosję,Rosją,Rosji,Rosjo
1561,postawa,postawa,postawy,postawie,postawę,postawą,postawie,postawo
1569,forma,forma,fomy,formie,formę,formą,formie,formo
1572,dziewczę,dziewczę,dziewczęcia,dziewczęciu,dziewczę,dziewczęciem,dziewczęciu,dziewczę
1573,aparat,aparat,apartu,aparatowi,aparat,aparatem,aparacie,aparacie
1576,wyzwanie,wyzwanie,wyzwania,wyzwaniu,wyzwanie,wyzwaniem,wyzwaniu,wyzwanie!
1578,kurczę,kurczę,kurczęcia,kurczęciu,kurczę,kurczęciem,kurczęciu,kurczę
1579,usługa,usługa,usługi,usłudze,usługę,usługą,usłudze,usługo
1581,koszula,koszula,koszuli,koszuli,koszulę,koszulą,koszuli,koszulo
1583,prąd,prąd,prądu,pradowi,prąd,prądem,prądzie,prądzie!
1584,obszar,obszar,obszaru,obszarowi,obszar,obszarem,obszarze,obszarze
1586,wielkość,wielkość,wielkości,wielkości,wielkość,wielkością,wielkości,wielkości!
1589,cień,cień,cienia,cieniowi,cień,cieniem,cieniu,cieniu
1591,kopać,kopia,kopii,kopii,kopię,kopią,kopii,kopio!
1592,pogoda,pogoda,pogody,pogodzie,pogodę,pogodą,pogodzie,pogodo
1593,przewaga,przewaga,przewagi,przewadze,przewagę,przewagą,przewadze,przewago
1595,flota,flota,floty,flocie,flotę,flotą,flocie,floto!
1598,zoo,zoo,zoo,zoo,zoo,zoo,zoo,zoo
1600,stworzenie,stworzenie,stworzenia,stworzeniu,stworzenie,stworzeniem,stworzeniu,stworzenie
1602,brzuch,brzuch,brzucha,brzuchowi,brzuch,brzuchem,brzuchu,brzuchu
1603,radość,radość,radości,radości,radość,radością,radości,radości
1606,reguła,reguła,reguły,regule,regułę,regułą,regule,reguło
1608,legenda,legenda,legendy,legendzie,legendę,legendą,legendzie,legendo!
1609,Budda,Budda,Buddy,Buddzie,Buddę,Buddą,Buddzie,Buddo
1614,otwarcie,otwarcie,otwarcia,otwarciu,otwarcie,otwarciem,otwarciu,otwarcie
1615,lud,lud,ludu,ludowi,lud,ludem,ludzie,ludu
1620,walizka,walizka,walizki,walizce,walizkę,walizką,walizce,walizko!
1624,poszukiwanie,poszukiwanie,poszukiwania,poszukiwaniu,poszukiwanie,poszukaniem,poszukiwaniu,poszukiewanie!
1625,sok,sok,soku,sokowi,sok,sokiem,soku,soku
1626,nerw,nerw,nerwu,nerwowi,nerw,nerwem,nerwie,nerwie
1627,geniusz,geniusz,geniusza,geniuszowi,geniusza,geniuszem,geniuszu,geniuszu
1628,hasło,hasło,hasła,hasłu,hasło,hasłem,haśle,hasło!
1629,przyjaźń,przyjaźń,przyjaźni,przyjaźni,przyjaźń,przyjaźnią,przyjaźni,przyjaźni
1630,Europa,Europa,Europy,Europie,Europę,Europą,Europie,Europo
1632,wycieczka,wycieczka,wycieczki,wycieczce,wycieczkę,wycieczką,wycieczce,wycieczko
1637,szczur,szczur,szczura,szczurowi,szczura,szczurem,szczurze,szczurze!
1638,magazyn,magazyn,magazynu,magazynowi,magazyn,magazynem,magazynie,magazynie
1644,wrzesień,wrzesień,września,wrześniowi,wrzesień,wrześniem,wrześniu,wrześniu!
1647,zakończenie,zakończenie,zakończenia,zakończeniu,zakończenie,zakończeniem,zakończeniu,zakończenie
1648,maska,maska,maski,masce,maskę,maską,masce,masko
1649,garść,garść,garści,garści,garść,garścią,garści,garści
1653,odległość,odległość,odległości,odległości,odległość,odległością,odległości,odległości
1655,ocean,ocean,oceanu,oceanowi,ocean,oceanem,oceanie,oceanie!
1657,ratunek,ratunek,ratunku,ratunkowi,ratunek,ratunkiem,ratunku,ratunku
1659,parking,parking,parkingu,parkingowi,parking,parkingiem,parkingu,parkingu
1661,trening,trening,treningu,treningowi,trening,treningiem,treningu,treningu
1664,królestwo,królestwo,królestwa,królestwu,królestwo,królestwem,królestwie,królestwo
1667,dym,dym,dymu,dymowi,dym,dymem,dymie,dym
1668,pech,pech,pecha,pechowi,pech,pechem,pechu,pechu!
1669,guzik,guzik,guzika,guzikowi,guzik,guzikiem,guziku,guziku
1670,sprzeciw,sprzeciw,sprzeciwu,sprzeciwowi,sprzeciw,sprzeciwem,sprzeciwie,sprzeciwie
1673,krzesło,krzesło,krzesła,krzesłu,krzesło,krzesłem,krześle,krzesło
1674,klatka,klatka,klatki,klatce,klatkę,klatką,klatce,klatko
1675,tożsamość,tożsamość,tożsamości,tożsamości,tożsamość,tożsamością,tożsamości,tożsamości
1678,organizacja,organizacja,organizacji,organizacji,organizację,organizacją,organizacji,organizacjo!
1680,wąż,wąż,węża,wężowi,węża,wężem,wężu,wężu
1681,banda,banda,bandy,bandzie,bandę,bandą,bandzie,bando
1682,chleb,chleb,chleba,chlebowi,chleb,chlebem,chlebie,chlebie
1684,ćwiczenie,ćwiczenie,ćwiczenia,ćwiczeniu,ćwiczenie,ćwiczeniem,ćwiczeniu,ćwiczenie
